Questions,Answers,Pertanyaan_ID,Jawaban_ID
How can I find a mental health professional right for my child or myself?,Feeling comfortable with the professional you or your child is working with is critical to the success of your treatment. Finding the professional who best fits your needs may require some research.,Bagaimana saya bisa menemukan profesional kesehatan mental untuk anak saya atau diri saya sendiri?,Merasa nyaman dengan profesional yang Anda atau anak Anda bekerja sama sangat penting untuk keberhasilan perawatan Anda.Menemukan profesional yang paling sesuai dengan kebutuhan Anda mungkin memerlukan penelitian.
If I become involved in treatment what do I need to know?,"Beginning treatment is a big step for individuals and families and can be very overwhelming. It is important to continue involvement in the treatment process as much as possible. Some questions you will need to have answered include:
What is known about the cause of this particular illness?
Are there other diagnoses where these symptoms are common?
Do you normally include a physical or neurological examination?
Are there any additional tests or exams that you would recommend at this point?
Would you advise an independent opinion from another psychiatrist at this point?
What program of treatment is the most helpful with this diagnosis?
Will this program involve services by other specialists? If so, who will be responsible for coordinating these services?
What do you see as the familyâ€™s role in this program of treatment?
How much access will the family have to the individuals who are providing the treatment?
What medications are generally used with this diagnosis? What is the biological effect of this medication, and what do you expect it to accomplish? What are the risks associated with the medication? How soon will we be able to tell if the medication is effective, and how will we know?
How much experience do you have in treating individuals with this illness?
What can I do to help you in the treatment?","Jika saya terlibat dalam pengobatan, apa yang perlu saya ketahui?","Perawatan awal adalah langkah besar bagi individu dan keluarga dan bisa sangat luar biasa.Penting untuk melanjutkan keterlibatan dalam proses perawatan sebanyak mungkin.Beberapa pertanyaan yang perlu Anda jawab termasuk:
Apa yang diketahui tentang penyebab penyakit khusus ini?
Apakah ada diagnosis lain di mana gejala -gejala ini umum?
Apakah Anda biasanya memasukkan pemeriksaan fisik atau neurologis?
Apakah ada tes atau ujian tambahan yang akan Anda rekomendasikan pada saat ini?
Apakah Anda akan menyarankan pendapat independen dari psikiater lain saat ini?
Program pengobatan apa yang paling membantu dengan diagnosis ini?
Apakah program ini akan melibatkan layanan oleh spesialis lain?Jika demikian, siapa yang akan bertanggung jawab untuk mengoordinasikan layanan ini?
Apa yang Anda lihat sebagai peran keluarga dalam program perawatan ini?
Berapa banyak akses yang akan dimiliki keluarga kepada orang -orang yang menyediakan perawatan?
Obat apa yang umumnya digunakan dengan diagnosis ini?Apa efek biologis dari obat ini, dan apa yang Anda harapkan?Apa risiko yang terkait dengan obatnya?Seberapa cepat kita dapat mengetahui apakah obatnya efektif, dan bagaimana kita tahu?
Berapa banyak pengalaman yang Anda miliki dalam memperlakukan orang dengan penyakit ini?
Apa yang dapat saya lakukan untuk membantu Anda dalam perawatan?"
Where else can I get help?,"Where you go for help will depend on the nature of the problem and/or symptoms and what best fits you. Often, the best place to start is by talking with someone you trust about your concerns, such as a family member, friend, clergy, healthcare provider, or other professionals. Having this social support is essential in healing from mental illness, and you will be able to ask them for referrals or recommendations for trusted mental health practitioners. Search for mental health resources in your area.
Secondly, there are people and places throughout Nebraska that provide services to talk, to listen, and to help you on your journey to recovery. Thirdly, many people find peer support a helpful tool that can aid in their recovery. There are a variety of organizations that offer support groups for consumers, their family members, and friends. Some support groups are peer led while others may be led by a mental health professional.",Di mana lagi saya bisa mendapatkan bantuan?,"Di mana Anda mencari bantuan akan tergantung pada sifat masalah dan/atau gejala dan apa yang paling cocok untuk Anda.Seringkali, tempat terbaik untuk memulai adalah dengan berbicara dengan seseorang yang Anda percayai tentang kekhawatiran Anda, seperti anggota keluarga, teman, pendeta, penyedia layanan kesehatan, atau profesional lainnya.Memiliki dukungan sosial ini sangat penting dalam penyembuhan dari penyakit mental, dan Anda akan dapat meminta mereka untuk rujukan atau rekomendasi untuk praktisi kesehatan mental tepercaya.Cari sumber daya kesehatan mental di daerah Anda.
Kedua, ada orang dan tempat di seluruh Nebraska yang menyediakan layanan untuk berbicara, mendengarkan, dan membantu Anda dalam perjalanan Anda menuju pemulihan.Ketiga, banyak orang menemukan peer mendukung alat yang bermanfaat yang dapat membantu pemulihan mereka.Ada berbagai organisasi yang menawarkan kelompok pendukung untuk konsumen, anggota keluarga mereka, dan teman -teman.Beberapa kelompok pendukung dipimpin rekan sementara yang lain mungkin dipimpin oleh seorang profesional kesehatan mental."
What should I know before starting a new medication?,"The best source of information regarding medications is the physician prescribing them. He or she should be able to answer questions such as:    1. What is the medication supposed to do? 2. When should it begin to take effect, and how will I know when it is effective? 3. How is the medication taken and for how long? What food, drinks, other medicines, and activities should be avoided while taking this medication? 4. What are the side effects and what should be done if they occur? 5. What do I do if a dose is missed? 6. Is there any written information available about this medication? 7. Are there other medications that might be appropriate? 8. If so, why do you prefer the one you have chosen? 9. How do you monitor medications and what symptoms indicate that they should be raised, lowered, or changed? 10. All medications should be taken as directed. Most medications for mental illnesses do not work when taken irregularly, and extra doses can cause severe, sometimes dangerous side effects. Many psychiatric medications begin to have a beneficial effect only after they have been taken for several weeks.",Apa yang harus saya ketahui sebelum memulai obat baru?,"Sumber informasi terbaik mengenai obat -obatan adalah dokter yang meresepkannya.Dia harus bisa menjawab pertanyaan seperti: 1. Apa yang seharusnya dilakukan obat?2. Kapan harus mulai berlaku, dan bagaimana saya tahu kapan itu efektif?3. Bagaimana obat diminum dan untuk berapa lama?Makanan, minuman, obat -obatan lain, dan kegiatan apa yang harus dihindari saat minum obat ini?4. Apa efek sampingnya dan apa yang harus dilakukan jika terjadi?5. Apa yang harus saya lakukan jika dosis terlewatkan?6. Apakah ada informasi tertulis yang tersedia tentang obat ini?7. Apakah ada obat lain yang mungkin sesuai?8. Jika demikian, mengapa Anda lebih suka yang Anda pilih?9. Bagaimana Anda memantau obat dan gejala apa yang menunjukkan bahwa mereka harus dinaikkan, diturunkan, atau diubah?10. Semua obat harus diminum sesuai petunjuk.Sebagian besar obat untuk penyakit mental tidak bekerja ketika diminum secara tidak teratur, dan dosis ekstra dapat menyebabkan efek samping yang parah dan terkadang berbahaya.Banyak obat psikiatris mulai memiliki efek menguntungkan hanya setelah mereka diambil selama beberapa minggu."
"If I feel better after taking medication, does this mean I am ""cured"" and can stop taking it?","It is not uncommon for people to stop taking their medication when they feel their symptoms are under control. Others may choose to stop taking their medication because of its side effects, without realizing that most side effects can be effectively managed. While it may seem reasonable to stop taking the medication, the problem is that most often, the symptoms will return. If you or your child is taking medication, it is very important that you work together with your doctor before making decisions about any changes in your treatment.\nAnother problem with stopping medication, particularly for stopping it abruptly, is that you may develop withdrawal symptoms that can be very unpleasant. If you and your doctor feel a trial off your medicine is a good idea, it is necessary to slowly decrease the dosage of medications so that these symptoms don’t occur.\nIt is important that your doctor and pharmacist work together to make sure your medications are working safely and effectively. You should talk with them about how you are doing and if there are side effects that make you unwilling to continue treatment. They will work with you to develop strategies for minimizing these side effects, or will create a plan for switching to a different treatment that will be a better fit.","Jika saya merasa lebih baik setelah minum obat, apakah ini berarti saya ""sembuh"" dan dapat berhenti meminumnya?","Tidak jarang orang berhenti minum obat ketika mereka merasakan gejala mereka terkendali.Orang lain dapat memilih untuk berhenti minum obat karena efek sampingnya, tanpa menyadari bahwa sebagian besar efek samping dapat dikelola secara efektif.Meskipun mungkin tampak masuk akal untuk berhenti minum obat, masalahnya adalah yang paling sering, gejalanya akan kembali.Jika Anda atau anak Anda sedang minum obat, sangat penting bagi Anda untuk bekerja sama dengan dokter Anda sebelum membuat keputusan tentang perubahan dalam perawatan Anda. \ NANUSIAN MASALAH PENGEMBALIAN MEMBUAT DENGAN OBAT, terutama untuk menghentikannya secara tiba -tiba, adalah bahwa Anda dapat mengembangkan gejala penarikan yang bisa sangat tidak menyenangkan.Jika Anda dan dokter Anda merasakan percobaan obat Anda adalah ide yang baik, perlu secara perlahan mengurangi dosis obat -obatan sehingga gejala -gejala ini tidak terjadi. \ Nit penting bahwa dokter dan apoteker Anda bekerja bersama untuk memastikan obat Anda bekerja dengan aman dan efektif.Anda harus berbicara dengan mereka tentang apa yang Anda lakukan dan jika ada efek samping yang membuat Anda tidak mau melanjutkan perawatan.Mereka akan bekerja dengan Anda untuk mengembangkan strategi untuk meminimalkan efek samping ini, atau akan membuat rencana untuk beralih ke perlakuan berbeda yang akan lebih cocok."
How can I get help paying for my medication?,"Some pharmaceutical companies offer prescription assistance programs to individuals and families with financial needs, while others offer special drug discount cards. These programs typically require a doctor’s consent and proof of your financial status. They may also require that you have either no health insurance or no prescription drug benefit through your health insurance.\nIn addition, there are prescription programs you might qualify for. Visit Healthfinder.gov to learn more.",Bagaimana cara mendapatkan bantuan untuk membayar obat saya?,"Beberapa perusahaan farmasi menawarkan program bantuan resep kepada individu dan keluarga dengan kebutuhan keuangan, sementara yang lain menawarkan kartu diskon obat khusus.Program -program ini biasanya memerlukan persetujuan dokter dan bukti status keuangan Anda.Mereka mungkin juga mensyaratkan bahwa Anda tidak memiliki asuransi kesehatan atau tidak ada manfaat obat resep melalui asuransi kesehatan Anda. \ Nin penambahan, ada program resep yang mungkin Anda memenuhi syarat.Kunjungi Healthfinder.gov untuk mempelajari lebih lanjut."
Where can I go to find therapy,"Different kinds of therapy are more effective based on the nature of the mental health condition and/or symptoms and the person who has them (for example, children will benefit from a therapist who specializes in children’s mental health). However, there are several different types of treatment and therapy that can help.",Kemana saya bisa pergi untuk menemukan terapi,"Berbagai jenis terapi lebih efektif berdasarkan sifat kondisi kesehatan mental dan/atau gejala dan orang yang memilikinya (misalnya, anak -anak akan mendapat manfaat dari terapis yang berspesialisasi dalam kesehatan mental anak -anak).Namun, ada beberapa jenis perawatan dan terapi yang dapat membantu."
Where can I learn about types of mental health treatment?,"Mental health conditions are often treated with medication, therapy or a combination of the two. However, there are many different types of treatment available, including Complementary & Alternative Treatments, self-help plans, and peer support. Treatments are very personal and should be discussed by the person with the mental health conditions and his or her team.",Di mana saya dapat belajar tentang jenis perawatan kesehatan mental?,"Kondisi kesehatan mental sering diobati dengan obat, terapi atau kombinasi keduanya.Namun, ada banyak jenis perawatan yang tersedia, termasuk perawatan komplementer & alternatif, rencana swadaya, dan dukungan sebaya.Perawatan sangat pribadi dan harus dibahas oleh orang dengan kondisi kesehatan mental dan timnya."
What are the different types of mental health professionals?,There are many types of mental health professionals. Finding the right one for you may require some research.,Apa saja berbagai jenis profesional kesehatan mental?,Ada banyak jenis profesional kesehatan mental.Menemukan yang tepat untuk Anda mungkin memerlukan penelitian.
Where can I go to find a support group?,"Many people find peer support a helpful tool that can aid in their recovery. There are a variety of organizations that offer support groups for consumers, their family members and friends. Some support groups are peer-led, while others may be led by a mental health professional.",Di mana saya bisa pergi mencari grup pendukung?,"Banyak orang menemukan peer mendukung alat yang bermanfaat yang dapat membantu pemulihan mereka.Ada berbagai organisasi yang menawarkan kelompok pendukung untuk konsumen, anggota keluarga dan teman -teman mereka.Beberapa kelompok pendukung dipimpin rekan, sementara yang lain mungkin dipimpin oleh profesional kesehatan mental."
Where can I go to find inpatient care?,"If you or someone you know is in crisis, inpatient care can help. Inpatient care can help people stabilize on new medications, adjust to new symptoms, or get the help they need.",Di mana saya bisa mencari perawatan rawat inap?,"Jika Anda atau seseorang yang Anda kenal dalam krisis, perawatan rawat inap dapat membantu.Perawatan rawat inap dapat membantu orang menstabilkan obat baru, menyesuaikan dengan gejala baru, atau mendapatkan bantuan yang mereka butuhkan."
Where can I go to find other local services?,"There are likely plenty of resources that can be used to help you find mental health treatment in your community. These resources can help you find the right therapist, and enable you to better understand viable treatment options and the treatment process.",Di mana saya bisa pergi mencari layanan lokal lainnya?,"Mungkin ada banyak sumber daya yang dapat digunakan untuk membantu Anda menemukan perawatan kesehatan mental di komunitas Anda.Sumber daya ini dapat membantu Anda menemukan terapis yang tepat, dan memungkinkan Anda untuk lebih memahami pilihan perawatan yang layak dan proses perawatan."
Where can I learn more information about clinical trials?,"Sometimes, consumers of mental health services may consider participating in a research study when they have not experienced improvement despite having tried a variety of medications and treatments. Research studies (also known as clinical trials) may involve the use of new medications or new treatment approaches whose safety and effectiveness is being tested. While we support innovation in the field, consumers should be cautioned that there are risks associated with clinical trials – make sure you’re aware of them before you enroll.",Di mana saya dapat mempelajari informasi lebih lanjut tentang uji klinis?,"Kadang -kadang, konsumen layanan kesehatan mental dapat mempertimbangkan untuk berpartisipasi dalam studi penelitian ketika mereka belum mengalami peningkatan meskipun telah mencoba berbagai obat dan perawatan.Studi penelitian (juga dikenal sebagai uji klinis) dapat melibatkan penggunaan obat baru atau pendekatan pengobatan baru yang keamanan dan efektivitasnya sedang diuji.Sementara kami mendukung inovasi di lapangan, konsumen harus diperingatkan bahwa ada risiko yang terkait dengan uji klinis - pastikan Anda menyadarinya sebelum Anda mendaftar."
Where can I learn more information about creating a Psychiatric Advance Directive?,"Similar to a medical advance directive or a health care power of attorney, a psychiatric advance directive is a legal document completed in a time of wellness that provides instructions regarding treatment or services one wishes to have or not have during a mental health crisis, and may help influence his or her care.",Di mana saya dapat mempelajari informasi lebih lanjut tentang membuat Petunjuk Kemajuan Psikiatri?,"Mirip dengan Petunjuk Medical Advance atau Kekuasaan Perawatan Kesehatan, Petunjuk Advance adalah dokumen hukum yang diselesaikan dalam waktu kesejahteraan yang memberikan instruksi tentang perawatan atau layanan yang ingin dimiliki atau tidak selama krisis kesehatan mental, dan dapat membantu memengaruhi perawatannya."
What is mental health?,"We all have mental health which is made up of our beliefs, thoughts, feelings and behaviours.",Apa itu kesehatan mental?,"Kita semua memiliki kesehatan mental yang terdiri dari keyakinan, pikiran, perasaan, dan perilaku kita."
